Reference, Quantity, Value, Footprint, Datasheet, LCSC Part
C10 ,1,"33p","stdpads:C_0603","~","C1663"
C17 C16 ,2,"22p","stdpads:C_0603","~","C1653"
C26 C2 C11 C25 C27 C28 C1 ,7,"100u","stdpads:C_1210","~","C49066"
C31 C6 C5 C3 ,4,"10u","stdpads:C_0805","~","C15850"
C7 C15 ,2,"100n","stdpads:C_0603","~","C14663"
C8 C9 C13 C14 C20 C23 C19 C22 C18 C21 C24 C29 C12 C30 C32 C33 C4 ,17,"2u2","stdpads:C_0603","~","C23630"
D2 ,1,"SS54","stdpads:D_SMA","~","C22452"
D3 ,1,"Green","stdpads:LED_0805","~","C2297"
D4 ,1,"Yellow","stdpads:LED_0805","~","C2296"
D5 ,1,"Red","stdpads:LED_0805","~","C84256"
D6 ,1,"5V6","stdpads:D_MiniMELF","~","C8062"
D7 ,1,"1N5819","stdpads:D_SOD-123","~","C8598"
F2 F1 ,2,"1A","stdpads:BelFuse_1206","~","C66453"
FB1 FB2 ,2,"GZ2012D101TF","stdpads:Murata_BLM21","~","C1015"
FID1 FID4 FID2 FID3 FID5 ,5,"Fiducial","stdpads:Fiducial","~"
H4 H2 H1 H3 ,4," ","stdpads:LPSeries-Screw","~"
H8 H6 H5 H7 ,4," ","stdpads:PasteHole_1.152mm_NPTH","~"
J1 ,1,"ADB1","stdpads:MD-40",""
J2 ,1,"microUSB","stdpads:USB_Micro-B_ShouHan_MicroXNJ","~","C404969"
J3 ,1,"JTAG","stdpads:Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical","~"
L1 ,1,"4u7","stdpads:Sunlord_MWSA0402","~","C408337"
Q4 Q2 Q3 Q5 ,4,"MMBT3904","stdpads:SOT-23","~","C20526"
Q6 Q1 ,2,"AO3401","stdpads:SOT-23","~","C15127"
R1 ,1,"120k","stdpads:R_0603","~","C25808"
R10 R11 R12 ,3,"100","stdpads:R_0805","~","C22775"
R15 ,1,"1M","stdpads:R_0603","~","C22935"
R19 R30 R16 R34 R14 ,5,"27","stdpads:R_0603","~","C25190"
R22 R26 R21 ,3,"22k","stdpads:R_0603","~","C31850"
R27 R17 R25 R20 R31 R32 R6 R13 R35 R18 R2 R4 ,12,"1k","stdpads:R_0603","~","C21190"
R3 ,1,"39k","stdpads:R_0603","~","C23153"
R5 R9 R8 ,3,"10k","stdpads:R_0603","~","C25804"
R7 R23 R28 R29 R24 R33 ,6,"DNP","stdpads:R_0603","~"
SW1 SW2 ,2,"SW_Push","stdpads:XKB_TS-1187A","~","C480267"
U1 ,1,"ESP-WROOM-32","stdpads:ESP32-WROVER_WROOM-32_WROOM","","C473012"
U2 ,1,"CH340G","stdpads:SOIC-16_3.9mm","http://www.datasheet5.com/pdf-local-2195953","C14267"
U3 ,1,"MP2451DT","stdpads:SOT-23-6","http://www.aosmd.com/res/data_sheets/AOZ1282CI-1.pdf","C14123"
U4 ,1,"74LVC1G14GW","stdpads:SOT-353","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","C265125"
Y1 ,1,"12M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","C9002"
